,assays,leiden,topics,keep
parse_hipp_12_Topic4_R28,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic5_R28,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic6_R28,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic7_R28,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic8_R28,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic9_R28,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic10_R28,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic11_R28,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic12_R28,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic1_R29,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic2_R29,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic3_R29,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic4_R29,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic5_R29,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic6_R29,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic7_R29,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic8_R29,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic9_R29,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic10_R29,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic11_R29,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic12_R29,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic1_R30,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic2_R30,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic3_R30,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic4_R30,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic5_R30,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic6_R30,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic7_R30,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic8_R30,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic9_R30,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic10_R30,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic11_R30,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic12_R30,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic1_R31,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic2_R31,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic3_R31,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic4_R31,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic5_R31,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic6_R31,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic7_R31,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic8_R31,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic9_R31,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic10_R31,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic11_R31,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic12_R31,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic1_R32,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic2_R32,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic3_R32,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic4_R32,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic5_R32,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic6_R32,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic7_R32,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic8_R32,parse_hipp_12,13,Topic_14,True
parse_hipp_12_Topic9_R32,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic10_R32,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic11_R32,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic12_R32,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic1_R33,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic2_R33,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic3_R33,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic4_R33,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic5_R33,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic6_R33,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic7_R33,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic8_R33,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic9_R33,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic10_R33,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic11_R33,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic12_R33,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic1_R34,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic2_R34,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic3_R34,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic4_R34,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic5_R34,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic6_R34,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic7_R34,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic8_R34,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic9_R34,parse_hipp_12,14,Topic_15,True
parse_hipp_12_Topic10_R34,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic11_R34,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic12_R34,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic1_R35,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic2_R35,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic3_R35,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic4_R35,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic5_R35,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic6_R35,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic7_R35,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic8_R35,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic9_R35,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic10_R35,parse_hipp_12,6,Topic_7,True
