orig.ident	nCount_RNA	nFeature_RNA	gender	tissue	mouse	genotype	age	exp	age_gen	percent.mt	RNA_snn_res.1	seurat_clusters	State	cellType
3xC013	643	307	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.79937791601866	8	8	8	microglia
3xC013	1683	691	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.17825311942959	9	9	9	microglia
3xC013	649	331	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.61633281972265	1	1	8	microglia
3xC013	704	338	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.284090909090909	7	7	8	microglia
3xC013	848	347	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.471698113207547	6	6	6	microglia
3xC013	619	302	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0	7	7	8	microglia
3xC013	1632	755	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.674019607843137	9	9	9	microglia
3xC013	599	302	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.333889816360601	7	7	8	microglia
3xC013	596	301	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.503355704697987	7	7	8	microglia
3xC013	2268	910	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.17636684303351	5	5	1	microglia
3xC013	596	305	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.51006711409396	7	7	8	microglia
3xC013	648	335	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.69753086419753	18	18	0	astrocyte
3xC013	2149	976	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.372266170311773	2	2	2	microglia
3xC013	3488	1361	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.0286697247706422	2	2	1	microglia
3xC013	600	320	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.16666666666667	8	8	8	microglia
3xC013	1373	688	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.291332847778587	5	5	1	microglia
3xC013	620	304	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.12903225806452	18	18	0	astrocyte
3xC013	1914	885	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.0522466039707419	5	5	1	microglia
3xC013	730	314	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.19178082191781	18	18	0	astrocyte
3xC013	822	352	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.851581508515815	1	1	5	microglia
3xC013	2122	916	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.69651272384543	9	9	2	microglia
3xC013	5791	1870	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.46624071835607	2	2	2	microglia
3xC013	896	383	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.34375	18	18	0	astrocyte
3xC013	4504	1714	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.688277087033748	2	2	1	microglia
3xC013	2548	1096	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.98116169544741	2	2	2	microglia
3xC013	2245	1059	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.267260579064588	5	5	1	microglia
3xC013	864	413	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.115740740740741	1	1	8	microglia
3xC013	645	330	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.465116279069767	18	18	0	astrocyte
3xC013	1039	477	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0	6	6	5	microglia
3xC013	2832	1237	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.741525423728814	2	2	9	microglia
3xC013	736	311	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.22282608695652	18	18	0	astrocyte
3xC013	1966	780	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.08545269582909	4	4	1	microglia
3xC013	824	401	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.849514563106796	6	6	6	microglia
3xC013	868	400	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.230414746543779	6	6	6	microglia
3xC013	1914	874	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.26123301985371	9	9	2	microglia
3xC013	587	346	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0	12	12	3	microglia
3xC013	1810	712	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.60220994475138	4	4	1	microglia
3xC013	618	323	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.161812297734628	1	1	8	microglia
3xC013	3281	1391	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.54861322767449	2	2	1	microglia
